composer
"Guignon, Jean-Pierre"
"Guilmant, Alexandre"
"Guiraud, Ernest"
"Gunn, John"
"Gyrowetz, Adalbert"
"Gänsbacher, Johann Baptist"
"Haeser, August Ferdinand"
"Hahn, Reynaldo"
"Hale, Thomas"
"Hall, King"
"Hallén, Andreas"
"Halm, August"
"Halven, Ernst"
"Hammer, Xaver"
"Hampeln, Carl von"
"Handel, George Frideric"
"Hanon, Charles-Louis"
"Harrington, Jeffrey Michael"
"Hartmann, Arthur"
"Hartmann, Christian Karl"
"Hartmann, Emil"
"Hartmann, Johan Peter Emilius"
"Hasse, Johann Adolph"
"Hassler, Hans Leo"
"Hathaway, Joseph William George"
"Hauptmann, Moritz"
"Hausegger, Siegmund von"
"Hay, Frederick Charles"
"Haydn, Joseph"
"Hedien, Mark"
"Hegar, Friedrich"
"Hegner, Anton"
"Hegner, Ludvig"
"Heidrich, Maximilian"
"Heinichen, Johann David"
"Heinrich, Anthony Philip"
"Heise, Peter"
"Heller, Stephen"
"Henley, William"
"Hennessy, Swan"
"Hennings, Henrik"
"Henschel, George"
"Hensel, Fanny"
"Henselt, Adolf von"
"Herbing, Valentin"
"Herman, Alphonse"
"Hermann, Friedrich"
"Herrmann, Eduard"
"Herz, Henri"
"Hesse, Adolf Friedrich"
"Heuschkel, Johann Peter"
"Hewitt, James"
"Hill, Wilhelm"
"Hille, Gustav"
"Hiller, Ferdinand"
"Himmel, Friedrich Heinrich"
"Hirsch, Leopold"
"Hoffman, Richard"
"Hoffmann, C.F.D."
"Hoffmann, Heinrich Anton"
"Hoffmann, Melchior"
"Hoffmeister, Franz Anton"
"Hofmann, Heinrich"
"Hofmann, Józef"
"Hofmann, Richard"
"Holbrooke, Joseph"
"Holmès, Augusta Mary Anne"
"Holzbauer, Ignaz"
"Hopfe, Heinrich Julius"
"Horetzky, Felix"
"Horneck, Franz"
"Hoth, Georg"
"Hubay, Jenö"
"Huber, Hans"
"Huber, Károly"
"Hummel, Johann Nepomuk"
"Hupfeld, Bernhard"
"Hurlstone, William Yeates"
"Huré, Jean"
"Hus-Desforges, Pierre Louis"
"Hänsel, Peter"
"Hässler, Johann Wilhelm"
"Hérold, Ferdinand"
"Högn, August"
"Hüe, Georges"
"Hünten, François"
"Ilyinsky, Alexander"
"Indy, Vincent d'"
"Isida, Kazue Rockzaemon"
"Jacinto, Javier"
"Jackson, William"
"Jacobsen, Hans Hinrich"
"Jadassohn, Salomon"
"Jadin, Hyacinthe"
"Janitsch, Johann Gottlieb"
"Jansa, Leopold"
"Janáček, Leoš"
"Jaques-Dalcroze, Emile"
"Jaëll, Alfred"
"Jaëll, Marie"
"Jensen, Adolf"
